id,canonicalName,aliases,regions,category,family,priorityBatch,portionStrategies,highImpactUnknowns,status,pendingIngredientSlots
dish:in:naan,Naan,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:butter-naan,Butter Naan,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:garlic-naan,Garlic Naan,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:cheese-naan,Cheese Naan,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:kulcha,Kulcha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:amritsari-kulcha,Amritsari Kulcha,,Punjab | North India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:plain-paratha,Plain Paratha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:aloo-paratha,Aloo Paratha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:gobi-paratha,Gobi Paratha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:paneer-paratha,Paneer Paratha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:mooli-paratha,Mooli Paratha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:methi-paratha,Methi Paratha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:sattu-paratha,Sattu Paratha,,Bihar | Jharkhand | Eastern India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:lachha-paratha,Lachha Paratha,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:kerala-parotta,Kerala Parotta,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:malabar-parotta,Malabar Parotta,,Kerala | South India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:puri,Puri,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:bhatura,Bhatura,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:luchi,Luchi,,West Bengal | Eastern India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:bakarkhani,Bakarkhani,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:sheermal,Sheermal,,Pan-India,bread_flatbread,bread,A,count | piece_weight_g | diameter_thickness,piece_weight | added_fat | flour_type,DRAFT_CURATED,4
dish:in:litti,Litti,bihari litti | litti bati,Bihar | Jharkhand | Eastern India,bread_flatbread,bread,A,count | piece_weight_g | diameter,piece_weight | sattu_to_flour_ratio | ghee_finishing_amount,DRAFT_CURATED,4
dish:in:steamed-rice,Steamed Rice,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:jeera-rice,Jeera Rice,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:ghee-rice,Ghee Rice,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:lemon-rice,Lemon Rice,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:tamarind-rice,Tamarind Rice,puliyogare | puliyodarai,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:coconut-rice,Coconut Rice,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:curd-rice,Curd Rice,thayir sadam,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:tomato-rice,Tomato Rice,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:veg-pulao,Veg Pulao,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:peas-pulao,Peas Pulao,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:kashmiri-pulao,Kashmiri Pulao,,Kashmir | North India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:yakhni-pulao,Yakhni Pulao,,Kashmir | North India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:khichdi,Khichdi,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:moong-dal-khichdi,Moong Dal Khichdi,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:masala-khichdi,Masala Khichdi,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:sabudana-khichdi,Sabudana Khichdi,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:ven-pongal,Ven Pongal,,Tamil Nadu | South India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:bisi-bele-bath,Bisi Bele Bath,,Karnataka | South India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:chicken-biryani,Chicken Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | plate_volume | katori_volume,rice_serving_weight | chicken_edible_weight | oil_ghee_amount | rice_meat_ratio,DRAFT_CURATED,5
dish:in:mutton-biryani,Mutton Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | plate_volume | katori_volume,rice_serving_weight | mutton_edible_weight | oil_ghee_amount | rice_meat_ratio | bone_fraction,DRAFT_CURATED,5
dish:in:egg-biryani,Egg Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:veg-biryani,Veg Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:hyderabadi-chicken-biryani,Hyderabadi Chicken Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:hyderabadi-mutton-biryani,Hyderabadi Mutton Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:kolkata-chicken-biryani,Kolkata Chicken Biryani,,West Bengal | Eastern India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:kolkata-mutton-biryani,Kolkata Mutton Biryani,,West Bengal | Eastern India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:lucknowi-chicken-biryani,Lucknowi Chicken Biryani,,Uttar Pradesh | North India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:lucknowi-mutton-biryani,Lucknowi Mutton Biryani,,Uttar Pradesh | North India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:thalassery-chicken-biryani,Thalassery Chicken Biryani,,Kerala | South India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:ambur-chicken-biryani,Ambur Chicken Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:dindigul-chicken-biryani,Dindigul Chicken Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:sindhi-biryani,Sindhi Biryani,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:tehri,Tehri,,Uttar Pradesh | North India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:bagara-rice,Bagara Rice,,Pan-India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:pulihora,Pulihora,,Andhra Pradesh | Telangana | South India,rice_grain,cooked_grain,A,measured_g | katori_volume | plate_volume,cooked_yield | added_fat | mix_in_ratio,DRAFT_CURATED,4
dish:in:idli,Idli,idly,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | diameter,piece_weight | rice_urad_ratio,DRAFT_CURATED,4
dish:in:mini-idli,Mini Idli,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:rava-idli,Rava Idli,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:kanchipuram-idli,Kanchipuram Idli,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:thatte-idli,Thatte Idli,,Tamil Nadu | South India | Karnataka,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:plain-dosa,Plain Dosa,sada dosa | dosa,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | diameter | cooked_weight_g,diameter_thickness | batter_weight | cooking_oil,DRAFT_CURATED,4
dish:in:masala-dosa,Masala Dosa,masala dose,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | diameter | cooked_weight_g | filling_weight_g,diameter_thickness | batter_weight | potato_filling_weight | cooking_oil,DRAFT_CURATED,4
dish:in:mysore-masala-dosa,Mysore Masala Dosa,,Tamil Nadu | South India | Karnataka,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:rava-dosa,Rava Dosa,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:onion-rava-dosa,Onion Rava Dosa,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:set-dosa,Set Dosa,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:neer-dosa,Neer Dosa,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:pesarattu,Pesarattu,,Andhra Pradesh | Telangana | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:adai,Adai,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:uttapam,Uttapam,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:onion-uttapam,Onion Uttapam,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:vegetable-uttapam,Vegetable Uttapam,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:poha,Poha,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:kanda-poha,Kanda Poha,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:indori-poha,Indori Poha,,Madhya Pradesh | Central India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:aval-upma,Aval Upma,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:upma,Upma,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:rava-upma,Rava Upma,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:semiya-upma,Semiya Upma,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:pongal,Pongal,,Tamil Nadu | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:appam,Appam,,Kerala | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:idiyappam,Idiyappam,,Kerala | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:puttu,Puttu,,Kerala | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:kadala-puttu,Kadala Puttu,,Kerala | South India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:kuzhi-paniyaram,Kuzhi Paniyaram,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:medu-vada,Medu Vada,medhu vada | ulundu vadai,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:sabudana-vada,Sabudana Vada,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:moong-dal-chilla,Moong Dal Chilla,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:besan-chilla,Besan Chilla,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:paneer-chilla,Paneer Chilla,,Pan-India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:dhokla,Dhokla,,Gujarat | Western India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:khaman,Khaman,,Gujarat | Western India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:handvo,Handvo,,Gujarat | Western India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:khandvi,Khandvi,,Gujarat | Western India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:muthia,Muthia,,Gujarat | Western India,breakfast_snack,batter_or_breakfast,A,count | piece_weight_g | measured_g,piece_weight | batter_ratio | added_fat,DRAFT_CURATED,4
dish:in:dal-tadka,Dal Tadka,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:dal-fry,Dal Fry,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:arhar-dal,Arhar Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:toor-dal,Toor Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:moong-dal,Moong Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:moong-dal-tadka,Moong Dal Tadka,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:masoor-dal,Masoor Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:masoor-dal-tadka,Masoor Dal Tadka,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:chana-dal,Chana Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:chana-dal-tadka,Chana Dal Tadka,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:urad-dal,Urad Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:dal-makhani,Dal Makhani,,Punjab | North India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:panchmel-dal,Panchmel Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:dal-baati-style-dal,Dal Baati Style Dal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:sambar,Sambar,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:rasam,Rasam,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:paruppu,Paruppu,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:pappu,Pappu,,Andhra Pradesh | Telangana | South India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:tomato-pappu,Tomato Pappu,,Andhra Pradesh | Telangana | South India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:palak-pappu,Palak Pappu,,Andhra Pradesh | Telangana | South India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:rajma,Rajma,rajma curry,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:rajma-masala,Rajma Masala,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:chole,Chole,chana | chole masala,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:chana-masala,Chana Masala,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:kala-chana-curry,Kala Chana Curry,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:lobia-curry,Lobia Curry,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:matki-usal,Matki Usal,,Maharashtra | Western India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:moong-usal,Moong Usal,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:misal,Misal,,Maharashtra | Western India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:kadhi,Kadhi,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:gujarati-kadhi,Gujarati Kadhi,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:punjabi-kadhi-pakora,Punjabi Kadhi Pakora,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:sindhi-kadhi,Sindhi Kadhi,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:maharashtrian-amti,Maharashtrian Amti,,Maharashtra | Western India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:varan,Varan,,Maharashtra | Western India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:dalma,Dalma,,Odisha | Eastern India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
